org-org,splitFromParty
choreographer,formerChoreographer
per-loc,region
per-per,teacher
org-org,commandStructure
country,twinCountry
member,connectedMember
loc-org,siteOfAstronomicalDiscovery
loc-loc,locatedAt
per-org,militaryUnit
per-org,directorOf
officeholder,commanderOf
per-org,agency
org-loc,locality
org-loc,province
highSchool,formerHighSchool
loc-per,owner
bandMember,formerBandMember
administrativeDivision,department
loc-loc,sharesBorderWith
loc-loc,lake
officeholder,governor
affiliation,athleticsAffiliation
loc-org,discoverer
municipality,neighboringMunicipality
ground,homeStadium
org-org,organization
loc-loc,territory
org-per,chief
per-loc,archivesAt
headquarter,headquartersCity
team,managedTeam
loc-per,engineer
per-per,nominatedBy
per-per,agent
org-org,partnershipWith
loc-loc,ocean
relative,spouse
partner,professionalPartner
per-per,associatedWith
alliance,airlineAlliance
team,debutTeam
mountain,mountainRange
loc-loc,coextensiveWith
org-loc,localAuthority
org-per,leader
administrativeDivision,diocese
station,adjacentStation
company,distributingCompany
per,per-org
org-per,ambassador
member,bandMember
org-per,rector
per-per,appointedBy
loc-loc,mouthOfWatercourse
org-org,subsidiary
city,capitalCity
officeholder,commissionedBy
memberOf,memberOfAssembly
editor,deputyEditor
org-per,captain
org-loc,ownerOf
per-per,relative
per-org,participantOf
per-org,wantedBy
capitalCity,countryCapital
station,interchangeStation
per-loc,placeOfBurial
agency,operatingAgency
org-org,operator
org-loc,workLocation
loc-org,tenant
per-per,patron
org-per,flagBearer
loc-per,leader
commander,notableCommander
loc-per,discoverer
headquarter,headquartersCountry
per-per,choreographer
loc-org,engineer
managingEditor,managingEditorDesign
per-org,boardMemberOf
org-loc,cathedral
country,countryOfCitizenship
org-per,influencedBy
associatedWith,university
conductor,ChiefConductor
per-loc,restingPlace
per-loc,workLocation
officeholder,chairman
department,arrondissement
per-org,positionHeld
org-loc,operatingArea
per-per,inspiredBy
per-per,coachOf
loc-org,designer
loc-per,people
loc-per,restoredBy
per-org,coachOf
coachOf,assistCoachOf
coachOf,headCoachOf
managerOf,managerOfClub
loc-loc,routeLocation
agency,parentAgency
loc-loc,river
officeholder,secretaryGeneral
org-org,allies
org-loc,ground
memberOf,currentMemberOf
editor,opinionEditor
associatedWith,stockExchange
per-org,recordLabel
org-per,editor
per-per,influenced
per-org,educatedAt
officeholder,headOfGovernment
partner,sportsPartner
officeholder,inOfficeChancellor
people,keyPeople
owner,currentOwner
org-org,hasPart
org-org,mergedIntoParty
per-loc,missionAt
team,proTeam
per-org,battleFaughtUnder
loc-loc,tributary
affiliation,nationalAffiliation
tributary,rightTributary
loc-org,legislativeBody
org-loc,garrison
locatedInArea,locatedInProtectedArea
officeholder,inOfficePresident
org-org,affiliation
district,administrativeDistrict
org-org,recordLabel
operator,busOperator
org-org,followedBy
team,amateurTeam
org-org,makesProductFor
rel,loc
partner,currentPartner
loc-loc,country
politicalParty,politicalPartyInLegislature
administrativeDivision,canton
partner,formerPartner
loc-loc,province
broadcastNetwork,formerBroadcastNetwork
team,nationalTeam
officeholder,inOfficeGovernorGeneral
director,musicDirector
per-loc,state
state,stateOfOrigin
loc-org,airlineHub
loc-org,contractor
memberOf,memberOfPoliticalParty
per-org,awardedBy
mouthOfWatercourse,riverMouth
loc-per,warden
per-loc,honouredAt
editor,campusEditor
org-loc,regionServed
officeholder,vicePresident
loc-loc,partiallyCoincidentWith
student,doctoralStudent
loc-per,occupant
member,currentMember
loc-loc,connectsWith
loc-per,curator
coach,womanCoach
loc-per,creator
org-per,owner
loc-per,namedAfter
educatedAt,school
per-per,employer
org-org,religion
